sprint_norris,sprint_piastri,sprint_verstappen,corrida_norris,corrida_piastri,corrida_verstappen,pts_norris,pts_piastri,pts_verstappen,tipo_empate,pilotos_empatados
1,2,3,99,1,2,398,398,390,duplo,Norris & Piastri
1,2,3,99,1,3,398,398,387,duplo,Norris & Piastri
1,2,3,99,1,4,398,398,384,duplo,Norris & Piastri
1,2,3,99,1,5,398,398,382,duplo,Norris & Piastri
1,2,3,99,1,6,398,398,380,duplo,Norris & Piastri
1,2,3,99,1,7,398,398,378,duplo,Norris & Piastri
1,2,3,99,1,8,398,398,376,duplo,Norris & Piastri
1,2,3,99,1,9,398,398,374,duplo,Norris & Piastri
1,2,3,99,1,10,398,398,373,duplo,Norris & Piastri
1,2,3,99,1,99,398,398,372,duplo,Norris & Piastri
1,2,4,99,1,2,398,398,389,duplo,Norris & Piastri
1,2,4,99,1,3,398,398,386,duplo,Norris & Piastri
1,2,4,99,1,4,398,398,383,duplo,Norris & Piastri
1,2,4,99,1,5,398,398,381,duplo,Norris & Piastri
1,2,4,99,1,6,398,398,379,duplo,Norris & Piastri
1,2,4,99,1,7,398,398,377,duplo,Norris & Piastri
1,2,4,99,1,8,398,398,375,duplo,Norris & Piastri
1,2,4,99,1,9,398,398,373,duplo,Norris & Piastri
1,2,4,99,1,10,398,398,372,duplo,Norris & Piastri
1,2,4,99,1,99,398,398,371,duplo,Norris & Piastri
1,2,5,99,1,2,398,398,388,duplo,Norris & Piastri
1,2,5,99,1,3,398,398,385,duplo,Norris & Piastri
1,2,5,99,1,4,398,398,382,duplo,Norris & Piastri
1,2,5,99,1,5,398,398,380,duplo,Norris & Piastri
1,2,5,99,1,6,398,398,378,duplo,Norris & Piastri
1,2,5,99,1,7,398,398,376,duplo,Norris & Piastri
1,2,5,99,1,8,398,398,374,duplo,Norris & Piastri
1,2,5,99,1,9,398,398,372,duplo,Norris & Piastri
1,2,5,99,1,10,398,398,371,duplo,Norris & Piastri
1,2,5,99,1,99,398,398,370,duplo,Norris & Piastri
1,2,6,99,1,2,398,398,387,duplo,Norris & Piastri
1,2,6,99,1,3,398,398,384,duplo,Norris & Piastri
1,2,6,99,1,4,398,398,381,duplo,Norris & Piastri
1,2,6,99,1,5,398,398,379,duplo,Norris & Piastri
