sprint_norris,sprint_piastri,sprint_verstappen,corrida_norris,corrida_piastri,corrida_verstappen,pts_norris,pts_piastri,pts_verstappen,ganhos_norris,ganhos_piastri,ganhos_verstappen,pontos_empate,tipo_empate,pilotos_empatados
1,2,3,99,1,2,398,398,390,8,32,24,398,duplo,Norris & Piastri
1,2,3,99,1,3,398,398,387,8,32,21,398,duplo,Norris & Piastri
1,2,3,99,1,4,398,398,384,8,32,18,398,duplo,Norris & Piastri
1,2,3,99,1,5,398,398,382,8,32,16,398,duplo,Norris & Piastri
1,2,3,99,1,6,398,398,380,8,32,14,398,duplo,Norris & Piastri
1,2,3,99,1,7,398,398,378,8,32,12,398,duplo,Norris & Piastri
1,2,3,99,1,8,398,398,376,8,32,10,398,duplo,Norris & Piastri
1,2,3,99,1,9,398,398,374,8,32,8,398,duplo,Norris & Piastri
1,2,3,99,1,10,398,398,373,8,32,7,398,duplo,Norris & Piastri
1,2,3,99,1,99,398,398,372,8,32,6,398,duplo,Norris & Piastri
1,2,4,99,1,2,398,398,389,8,32,23,398,duplo,Norris & Piastri
1,2,4,99,1,3,398,398,386,8,32,20,398,duplo,Norris & Piastri
1,2,4,99,1,4,398,398,383,8,32,17,398,duplo,Norris & Piastri
1,2,4,99,1,5,398,398,381,8,32,15,398,duplo,Norris & Piastri
1,2,4,99,1,6,398,398,379,8,32,13,398,duplo,Norris & Piastri
1,2,4,99,1,7,398,398,377,8,32,11,398,duplo,Norris & Piastri
1,2,4,99,1,8,398,398,375,8,32,9,398,duplo,Norris & Piastri
1,2,4,99,1,9,398,398,373,8,32,7,398,duplo,Norris & Piastri
1,2,4,99,1,10,398,398,372,8,32,6,398,duplo,Norris & Piastri
1,2,4,99,1,99,398,398,371,8,32,5,398,duplo,Norris & Piastri
1,2,5,99,1,2,398,398,388,8,32,22,398,duplo,Norris & Piastri
1,2,5,99,1,3,398,398,385,8,32,19,398,duplo,Norris & Piastri
1,2,5,99,1,4,398,398,382,8,32,16,398,duplo,Norris & Piastri
1,2,5,99,1,5,398,398,380,8,32,14,398,duplo,Norris & Piastri
1,2,5,99,1,6,398,398,378,8,32,12,398,duplo,Norris & Piastri
1,2,5,99,1,7,398,398,376,8,32,10,398,duplo,Norris & Piastri
1,2,5,99,1,8,398,398,374,8,32,8,398,duplo,Norris & Piastri
1,2,5,99,1,9,398,398,372,8,32,6,398,duplo,Norris & Piastri
1,2,5,99,1,10,398,398,371,8,32,5,398,duplo,Norris & Piastri
1,2,5,99,1,99,398,398,370,8,32,4,398,duplo,Norris & Piastri
1,2,6,99,1,2,398,398,387,8,32,21,398,duplo,Norris & Piastri
1,2,6,99,1,3,398,398,384,8,32,18,398,duplo,Norris & Piastri
1,2,6,99,1,4,398,398,381,8,32,15,398,duplo,Norris & Piastri
1,2,6,99,1,5,398,398,379,8,32,13,398,duplo,Norris & Piastri
1,2,6,99,1,6,398,398,377,8,32,11,398,duplo,Norris & Piastri
1,2,6,99,1,7,398,398,375,8,32,9,398,duplo,Norris & Piastri
1,2,6,99,1,8,398,398,373,8,32,7,398,duplo,Norris & Piastri
1,2,6,99,1,9,398,398,371,8,32,5,398,duplo,Norris & Piastri
1,2,6,99,1,10,398,398,370,8,32,4,398,duplo,Norris & Piastri
1,2,6,99,1,99,398,398,369,8,32,3,398,duplo,Norris & Piastri
1,2,7,99,1,2,398,398,386,8,32,20,398,duplo,Norris & Piastri
1,2,7,99,1,3,398,398,383,8,32,17,398,duplo,Norris & Piastri
1,2,7,99,1,4,398,398,380,8,32,14,398,duplo,Norris & Piastri
1,2,7,99,1,5,398,398,378,8,32,12,398,duplo,Norris & Piastri
1,2,7,99,1,6,398,398,376,8,32,10,398,duplo,Norris & Piastri
1,2,7,99,1,7,398,398,374,8,32,8,398,duplo,Norris & Piastri
1,2,7,99,1,8,398,398,372,8,32,6,398,duplo,Norris & Piastri
1,2,7,99,1,9,398,398,370,8,32,4,398,duplo,Norris & Piastri
1,2,7,99,1,10,398,398,369,8,32,3,398,duplo,Norris & Piastri
1,2,7,99,1,99,398,398,368,8,32,2,398,duplo,Norris & Piastri
1,2,8,99,1,2,398,398,385,8,32,19,398,duplo,Norris & Piastri
1,2,8,99,1,3,398,398,382,8,32,16,398,duplo,Norris & Piastri
1,2,8,99,1,4,398,398,379,8,32,13,398,duplo,Norris & Piastri
1,2,8,99,1,5,398,398,377,8,32,11,398,duplo,Norris & Piastri
1,2,8,99,1,6,398,398,375,8,32,9,398,duplo,Norris & Piastri
1,2,8,99,1,7,398,398,373,8,32,7,398,duplo,Norris & Piastri
1,2,8,99,1,8,398,398,371,8,32,5,398,duplo,Norris & Piastri
